# Follow-up Questions Audio Mapping
# Format: English Question | Audio File Path
# This file maps English follow-up questions from chat.py to their corresponding audio files

# HEADACHE QUESTIONS
# SKIN RASH QUESTIONS
I'm sorry you're dealing with a skin issue. Where is the rash located (e.g., face, arms, legs, torso, hands, feet)? | clips/Skin Rash/I'm sorry you're dealing with a skin issue. Where is the rash located (e.g., face, arms, legs, torso, hands, feet).mp3
Where is the rash located (e.g., face, arms, legs, torso, hands, feet)? | clips/Skin Rash/Where is the rash located (e.g., face, arms, legs, torso, hands, feet).mp3
What does it look like (e.g., red, raised bumps, hives, scaly, blisters, oozing, ring-shaped)? | clips/Skin Rash/What does it look like (e.g., red, raised bumps, hives, scaly, blisters, oozing, ring-shaped).mp3
Could you describe the appearance (red/pink, flat/raised, bumps/hives, scaly/flaky, blisters, crusting, ring-shaped)? | clips/Skin Rash/Could you describe the appearance (redpink, flatraised, bumpshives, scalyflaky, blisters, crusting, ring-shaped).mp3
How long have you had this rash? | clips/Skin Rash/How long have you had this rash.mp3
How long has this been present (e.g., 2 days, since this morning, 1 week)? | clips/Skin Rash/How long has this been present (e.g., 2 days, since this morning, 1 week).mp3
How itchy is it on a scale of 1 to 10? | clips/Skin Rash/How itchy is it on a scale of 1 to 10.mp3
On a scale of 1 to 10, how intense is the itch? | clips/Skin Rash/On a scale of 1 to 10, how intense is the itch.mp3
Is it spreading or staying about the same? | clips/Skin Rash/Is it spreading or staying about the same.mp3
Is the rash spreading or staying the same? | clips/Skin Rash/Is the rash spreading or staying the same.mp3
Have you recently started any new soap, detergent, cosmetics, medications, foods, or had insect bites/plant contact? | clips/Skin Rash/Have you recently started any new soap, detergent, cosmetics, medications, foods, or had insect bitesplant contact.mp3
Any of these present: fever, very painful rash, swelling of lips/face, mouth sores, red eyes, or trouble breathing? | clips/Skin Rash/Any of these present fever, very painful rash, swelling of lipsface, mouth sores, red eyes, or trouble breathing.mp3
Thanks—please share a bit more so I can assess properly. | clips/Skin Rash/Thanks—please share a bit more so I can assess properly..mp3

# GENERAL QUESTIONS
Where in your body do you notice this the most? | clips/Headache/Where is the headache located—front, back, sides, left or right.mp3


