Native,English
​-ipenhe,"from, because of, after"
ipenye,stranger
​-iperre,"from, because of, after"
iperte,"1. deep. 2. hole, pit, hollow, grave"
ipmenhe,mother's mother; woman's daughter's child
irlantye,bicycle lizard
irlpe,ear
irlpelhe,"leaf, petal, feather, wing."
irlperenye,"green beetle, stink beetle"
irlweme,"take something down off, take off clothes"
irnwerre,"limping, lame, crippled"
irnterre,"intensely, energetically, focussed on what you're doing"
irntirte,"rotten, bad, very bad"
irntwarre,"on the other side of, over there"
irrakere,carved grooves or designs on wooden artefacts
irrare,"lonely, homesick"
irrare-irreme,"long for, be homesick"
irrarnte,black cockatoo
irreme,become
irrerlknge,"corpse, skeleton"
irrernte,"cold, cold weather"
irretye,wedge-tailed eagle
irrkepe,desert oak
irrkereme,"sort through to find, uncover"
irrkerlantye,brown falcon (bird)
irrkerteye,"bitter, salty"
irrketye,hair string
irrkngelhe,dry thin bark
irrkwentye,police
irrpeme,"enter, go in"
irrpennge,fish
irrtnye,"husk, peel, skin of some animals"
irrtnye-iweme,"to skin (animal), to peel"
irrtyarte,a spear
ite,"throat, front of neck"
itelareme / itele-areme,"remember, know, decide, think"
itelye,"wart, skin tag"
iteme,"cook, light (a fire)"
itethe,alive
ithwenge,"maybe, perhaps"
itirreme,think
itne,they (more than two; subject)
itnenhe,them (more than two; object form)
itnyelhe-ileme,drop something
itnyeme,fall
itwe,near
iweme,"throw, throw away"
iwenhe?,what?
iwenhe-akweye,"watchamacallit, thingummy"
iwenheke?,"why?, what for?"
iwenhenge?,"why?, because of what?, what from?"
iwenye,mosquito
iwepe,"itchy grub, web"
iwerre,"path, road, track"
kake,older brother
Karnte,one of the town camps
karnte-karnte,"round, circular"
kele,"'Done!', 'OK', finished, already"
kelyawe,type of dragon lizard
Kemarre,one of the eight skin names
​-kenhe,belonging to (like English 's)
kere,"meat, game animal"
Kngwarraye,one of the eight skin names
kurrkurrke,mopoke owl
kwarte,egg
kwatye,"water, rain"
Kwementyaye,name used instead of a person's individual name if someone else with that name has passed away
kwene,"down, low, inside"
kwene-irreme,"bend down, duck down, go down"
kwepalepale,crested bellbird
kwerneme,to swallow
kwerralye,star
kwerrkwerrke,mopoke owl
kwerte,"(fire) smoke, cigarette"
kwetere,"wooden fighting club, nulla nulla"
Kweye?,"'I'm surprised; can that be right?', 'Eh?' (getting someone to confirm what they just said), 'Oops! How did I do that?' (after a mistake)"
​-le,"at, on, in"
lhenpe,armpit
Lhenpe Artnwe,Hoppy's town camp
lhere,"creek, river"
ltare-atweme,"hit and make a sharp noise, to knock"
ltare-ltare,sharp noise
lterre,"shin, shinbone"
lterrke,"hard, strong, solid, tight"
lthane,"ghost, spirit (of dead)"
lthangkwe,soaking wet
lthere-iweme,pinch someone
ltyentye,beefwood tree
Ltyentye Apurte,Santa Teresa
lyapeme,"(plant) grow, sprout"
lyeke,"prickle, thorn, burr, quill"
lyepe-lyepe,part of intestines
lyete,"now, today"
lyetenye,"today's, recent"
makete,gun
makite,gun
mantere,"clothes, cloth"
marle,"girl, female (animal)"
marteme,"shut, close, block off, turn off"
matye,mother
Me!,"'Here, take it!'"
merne,"food from plants: vegetable, fruit"
metye,"blunt, blocked off, corner"
meye,"mother, mother's sister"
Mparntwe,Alice Springs
Mpe!,'Let's go!'
mpenge,"ripe, cooked"
mpepe,middle
mperlkere,white
mpwaltye,frog
mpwareme,"make, do, fix"
mpwele,you two (subject)
mpwepe,middle
mpwere,maggot
mpwerne,brother-in-law
mpwerneye,brother-in-law
Mpwetyerre,Abbotts town camp
mwantye,"slowly, carefully, cautiously"
mwarre,"good, well, useable, proper, safe"
mwekarte,"hat, cap"
mweramwenke,blowfly
mwere,mother-in-law; son-in-law
mwernte-irreme,"refuse, be uncooperative"
mwerre,"good, well, useable, proper, safe"
name,grass
nanthe,horse
​-nge-ntyele,"from, out of, away from"
ngenhe,you (one person; object form)
ngentye,"soakage, hole dug for water"
ngkarte,"God, priest"
Ngke!,'Give it here!'
ngkerneme,"1. stand something up, to plant. 2. (driver) stops (vehicle)"
ngkerralye,"rib, ribs"
ngkwarle,"1.'honey' foods, juice. 2. alcohol"
ngkweltye,"small pieces, coins"
ngkwerne,"1. leg, lower leg. 2. bone"
ngkwerne-ngkwerne,"bony, skinny"
ngkwinhe,"your, yours (one person)"
nhakwe,"that, there (distant)"
nhenge,"'you know the one', that (one)"
nhenhe,"here, this (close by)"
ntange,edible seeds
Ntaripe,Heavitree Gap
ntarne,shallow
nterte,"quiet, quietly"
nteweme,"bash against something, throw someone down"
nthakenhe?,how?
nthakentye?,"how many?, how much?"
nthakintye?,"how many?, how much?"
nthenhe?,where?
nthenhe-werne?,where to?
ntherrarte,blue-tongue lizard
ntulye,"shadow, solid shade"
nturrerte,rock pigeon
ntyange,permanent waterhole
ntyarlke,elephant grub caterpillar
Ntyarlke-arle-tyaneme,elephant grub dreaming site on the Todd River
​-ntyele,"from, out of, away from"
ntyeme,"give off a smell, smell, stink"
ntyerneme,smell something
ntyerrknge-atnyeme,sneeze
ntyerrknge-itnyeme,sneeze
nyemale,type of rat
Nyewente,Trucking Yards town camp
parlkene,red-backed kingfisher
pelhe,"saliva, spit"
Peltharre,one of the eight skin names
Penangke,one of the eight skin names
Pengarte,one of the eight skin names
Perrurle,one of the eight skin names
pewileme,to blow on (with your mouth)
pmulpere,"windpipe, throat"
pmware-pmware,a type of small beetle
pmwelpere,"windpipe, throat"
purlpurle,"thumb, big toe"
pwarrtyeme,"give off light: shine, glow; shine on something"
pwenge,blind
pwepelye,tadpole
pwerlepe,shoulder
pwerlpwerle,"thumb, big toe"
rakeme,"grab, snatch, take away"
rante-rante,"same, identical, equal"
re,"he, she, it (subject)"
re-atherre / ratherre,"the two of them, they (subject)"
renhe,"him, her, it (object form)"
renhe-atherre,"the two of them, them"
rlke,wind
rlkerte,sick
rlputneme,"squeeze stuff out, blow nose"
rulyulye,"horn, feeler, insect antenna"
takwe,traditional windbreak
terte,damp or wet earth
Thare-arle-tneme,Annie Meyer Hill
tharre,numb
the,I (subject of transitive verb)
theke-theke-ileme,tickle someone
theleme,"pour, spill"
thipe,bird
tile,tail (from English)
tirre-tirre,rainbow bee-eater
tnakeme,"compliment, praise"
tneme,"to stand, be"
tnyelheme,scratch yourself
tnyeme,"dig for something, dig something out"
tunpere,"type of grass, hook made from it"
tyape,edible grub
tyarre-ineme,"pull, pull out, drag"
tyelpme,"chips of wood, splinter"
tyepmware,"fingernail, toenail"
tyerraye,cicada
tyerrtye,"(person's) body, Aboriginal person"
tywepmare,"fingernail, toenail"
ulampe-ulampe,heron
ulare,"deliberately, for a reason"
ulhelke,blue-tongue lizard
​-ulkere,"sort of,-ish"
ulpe,"fine, powdery, soft"
ulpere,hollow/hole in tree
ulpernelheme,to whistle
ultakeme,"break off, break into pieces, chop"
ulte,side (of the body)
ultheme,"press down on, tread on"
ulthentye,heavy
ulye,"shade, patchy or dappled shade"
ulyentye,"shade, patchy or dappled shade"
ulyepere,thigh
unte,you (one person; subject)
unteme,"run, hurry along"
untheme,"look for, walk around"
untye,"back of neck, neck"
untyeye,corkwood trees with nectar you can eat
unyerre,thorny devil (lizard)
ure,fire
urewe,"water running in creek, flood"
urinpe,"hot (thing), hot weather"
urlampe-urlampe,heron
urlare,"deliberately, for a reason"
urle,forehead
urlkere,"slippery, smooth"
urlpe,red ochre
urlpme,"narrow, tight"
urlpmernte,"dust, dust haze"
urltampe,honey from native bees
urlte,hollow in a tree
urnteme,1. to dance (men). 2. to rain
urreke,"later, in a while, after"
urrempere,shovel-headed spear
urreye,"boy, male animal"
urrperle,"1. dark colours, especially black. 2. Aboriginal (person)"
urrpetye,"three, a few"
urrpmale,firesaw
urtepe-irreme,turn around to go back
urtne,coolamon
uterne,"sun, summer"
uterne-uterne,type of ant
uterneme,"to tell someone to do, pressure to do"
uthene,and (joins two things)
uthneme,to bite
utnanthe,the bush; gidgea tree-
utnenge,"spirit, soul"
utnerrengatye,caterpillar found on emu bush
utnerrenge,emu bush
utyene,"sore (on body), wound"
utyerrke,wild fig
utyewe,"skinny, thin"
utyipme,"rib, ribs"
uyarne,"trying but unable to, unsuccessfully"
uye,"trying but unable to, unsuccessfully"
uyenpere,spearwood
Uyenpere Atwatye,Hidden Valley town camp (lit. 'spearwood gap')
wangkeme,swell up
wanteme,"feed someone, serve"
ware,"just, only; for no reason; nothing much (answer to 'Werte?')"
warle,"house, building, wall"
weme,hit (by throwing something at)
​-werne,"to, towards"
Werte?,'What's up?' 'What's going on?'
yalke,wild onion
yanhe,"over there, that (mid distance)"
Yarrentye Arltere,Larapinta Valley town camp
yaye,older sister
Ye,yes
Yekwe,"'Dunno.', 'I don't know'"
yenpe,skin
yepe,umbilical cord
yepe-yepe,sheep
yerneme,send to someone
yerrampe,honey-ant
yerre,ant
Yewe-yewe,"yes, OK"
Yweke,"'Dunno.', 'I don't know'"
